"Applied filters:
Calendar_Day is on or after 01/01/2026 and is before 27/06/2026
COUNTRY_SHORT is UKR
Attribute is Article_ID, Article_Desc, or Article_Image
Store_Name is UA_KYIV_Spektr_FO
KPIs is Net_Sales_EUR, Net_Qty, NS_vs_LY, Store_Stock, Warehouse_Stock, or Weeks Cover";;;;;;;;
;;;;;;;;
Article_ID;Article_Desc;Article_Image;Net_Sales_EUR;Net_Qty;NS_vs_LY;Store_Stock;Warehouse_Stock;Weeks_Cover
GW8342;DURAMO 10;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW8342-small.png;9 392;231;59%;54;;11
GW8336;DURAMO 10;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW8336-small.png;6 308;158;27%;50;;16
B75806;SAMBA OG;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/B75806-small.png;5 665;70;-31%;120;5 547;1803
GW3848;GALAXY 6 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW3848-small.png;5 299;147;9%;48;1 119;110
HQ1801;VL COURT 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ1801-small.png;4 729;94;;11;;6
HP2381;DURAMO 10;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP2381-small.png;4 345;122;-12%;;;
GZ1561;RESPONSE CL;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GZ1561-small.png;4 256;50;1650%;28;;6
GW4140;GALAXY 6 M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW4140-small.png;4 242;111;-24%;37;;4
GW9198;GRAND COURT 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/GW9198-small.png;4 155;86;;30;1 141;586
IF1200;DURAMO SL M;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IF1200-small.png;4 077;106;60%;49;15;7
HQ1802;VL COURT 2.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HQ1802-small.png;4 028;83;;23;;5
HP7544;RUNFALCON 3.0;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/HP7544-small.png;4 020;112;-6%;11;;4
IG8568;Tensaur Run 2.0 CF K;https://prdsdcapp44813.emea.adsint.biz/MicroStrategy/_custom/marvin/png/IG8568-small.png;3 968;142;126%;55;643;163
